year,quarter,country_state_level,location,registered_users,app_opens,brand,brand_count,brand_percentage
2018,1,country,india,46877867,0,Xiaomi,11926334,0.254412898
2018,1,country,india,46877867,0,Samsung,9609401,0.204988017
2018,1,country,india,46877867,0,Vivo,5894293,0.125737227
2018,1,country,india,46877867,0,Oppo,4479351,0.095553644
2018,1,country,india,46877867,0,Realme,2376866,0.050703374
2018,1,country,india,46877867,0,Apple,1825153,0.038934216
2018,1,country,india,46877867,0,Motorola,1593250,0.033987255
2018,1,country,india,46877867,0,OnePlus,1536418,0.032774913
2018,1,country,india,46877867,0,Lenovo,1246507,0.026590523
2018,1,country,india,46877867,0,Huawei,808774,0.01725279
2018,1,country,india,46877867,0,Others,5581520,0.119065144
2018,2,country,india,63648311,0,Xiaomi,16416511,0.25792532
2018,2,country,india,63648311,0,Samsung,12943051,0.203352623
2018,2,country,india,63648311,0,Vivo,8365074,0.131426488
2018,2,country,india,63648311,0,Oppo,6246581,0.098142133
2018,2,country,india,63648311,0,Realme,3165738,0.049737973
2018,2,country,india,63648311,0,Apple,2326897,0.036558661
2018,2,country,india,63648311,0,Motorola,2099718,0.032989375
2018,2,country,india,63648311,0,OnePlus,1890141,0.02969664
2018,2,country,india,63648311,0,Lenovo,1627153,0.025564748
2018,2,country,india,63648311,0,Huawei,1104740,0.017356941
2018,2,country,india,63648311,0,Others,7462707,0.117249097
2018,3,country,india,80010952,0,Xiaomi,20859459,0.260707547
2018,3,country,india,80010952,0,Samsung,16228372,0.202826883
2018,3,country,india,80010952,0,Vivo,11118842,0.1389665
2018,3,country,india,80010952,0,Oppo,8103650,0.10128176
2018,3,country,india,80010952,0,Realme,3962596,0.04952567
2018,3,country,india,80010952,0,Apple,2774989,0.034682614
2018,3,country,india,80010952,0,Motorola,2529272,0.031611572
2018,3,country,india,80010952,0,OnePlus,2231557,0.027890644
2018,3,country,india,80010952,0,Lenovo,1857680,0.023217821
2018,3,country,india,80010952,0,Huawei,1444125,0.018049092
2018,3,country,india,80010952,0,Others,8900410,0.111239896
2018,4,country,india,102262055,0,Xiaomi,26709586,0.261187652
2018,4,country,india,102262055,0,Samsung,20740259,0.202814808
2018,4,country,india,102262055,0,Vivo,14966905,0.146358344
2018,4,country,india,102262055,0,Oppo,10754040,0.105161587
2018,4,country,india,102262055,0,Realme,4997725,0.048871744
2018,4,country,india,102262055,0,Apple,3435529,0.033595345
2018,4,country,india,102262055,0,Motorola,3089947,0.030215968
2018,4,country,india,102262055,0,OnePlus,2668868,0.026098322
2018,4,country,india,102262055,0,Lenovo,2257295,0.022073632
2018,4,country,india,102262055,0,Huawei,1899667,0.01857646
2018,4,country,india,102262055,0,Others,10742234,0.105046139
2019,1,country,india,123432699,0,Xiaomi,32175910,0.260675739
2019,1,country,india,123432699,0,Samsung,25070398,0.203109858
2019,1,country,india,123432699,0,Vivo,18778714,0.152137271
2019,1,country,india,123432699,0,Oppo,13426696,0.108777464
2019,1,country,india,123432699,0,Realme,5948556,0.048192708
2019,1,country,india,123432699,0,Apple,4005092,0.032447577
2019,1,country,india,123432699,0,Motorola,3531217,0.02860844
2019,1,country,india,123432699,0,OnePlus,3042107,0.024645876
2019,1,country,india,123432699,0,Lenovo,2553783,0.02068968
2019,1,country,india,123432699,0,Huawei,2364933,0.019159696
2019,1,country,india,123432699,0,Others,12535293,0.101555691
2019,2,country,india,141808226,920413791,Xiaomi,36936092,0.260465088
2019,2,country,india,141808226,920413791,Samsung,28857066,0.203493597
2019,2,country,india,141808226,920413791,Vivo,22157338,0.156248609
2019,2,country,india,141808226,920413791,Oppo,15797055,0.111397311
2019,2,country,india,141808226,920413791,Realme,6829373,0.048159216
2019,2,country,india,141808226,920413791,Apple,4511382,0.03181326
2019,2,country,india,141808226,920413791,Motorola,3917097,0.027622495
2019,2,country,india,141808226,920413791,OnePlus,3331797,0.02349509
2019,2,country,india,141808226,920413791,Lenovo,2826639,0.019932828
2019,2,country,india,141808226,920413791,Huawei,2738178,0.019309021
2019,2,country,india,141808226,920413791,Others,13906209,0.098063486
2019,3,country,india,159293934,3448366103,Xiaomi,41454122,0.260236664
2019,3,country,india,159293934,3448366103,Samsung,32271518,0.202591004
2019,3,country,india,159293934,3448366103,Vivo,25597791,0.160695328
2019,3,country,india,159293934,3448366103,Oppo,18090143,0.113564544
2019,3,country,india,159293934,3448366103,Realme,7851606,0.04929005
2019,3,country,india,159293934,3448366103,Apple,4969855,0.031199273
2019,3,country,india,159293934,3448366103,Motorola,4193041,0.026322666
2019,3,country,india,159293934,3448366103,OnePlus,3607223,0.022645074
2019,3,country,india,159293934,3448366103,Huawei,3116564,0.019564863
2019,3,country,india,159293934,3448366103,Lenovo,2892338,0.018157239
2019,3,country,india,159293934,3448366103,Others,15249733,0.095733294
2019,4,country,india,178279085,4301071954,Xiaomi,46286972,0.259632093
2019,4,country,india,178279085,4301071954,Samsung,35921409,0.201489754
2019,4,country,india,178279085,4301071954,Vivo,29444698,0.165160697
2019,4,country,india,178279085,4301071954,Oppo,20682715,0.116013132
2019,4,country,india,178279085,4301071954,Realme,9177720,0.05147951
2019,4,country,india,178279085,4301071954,Apple,5361581,0.030074089
2019,4,country,india,178279085,4301071954,Motorola,4494286,0.025209272
2019,4,country,india,178279085,4301071954,OnePlus,3833328,0.021501838
2019,4,country,india,178279085,4301071954,Huawei,3492460,0.019589847
2019,4,country,india,178279085,4301071954,Lenovo,3062118,0.01717598
2019,4,country,india,178279085,4301071954,Others,16521798,0.092673787
2020,1,country,india,197575164,4768944662,Xiaomi,51004503,0.258152401
2020,1,country,india,197575164,4768944662,Samsung,39560399,0.200229615
2020,1,country,india,197575164,4768944662,Vivo,33573609,0.169928286
2020,1,country,india,197575164,4768944662,Oppo,23375458,0.118311723
2020,1,country,india,197575164,4768944662,Realme,10582375,0.053561261
2020,1,country,india,197575164,4768944662,Apple,5755009,0.029128201
2020,1,country,india,197575164,4768944662,Motorola,4756036,0.024072034
2020,1,country,india,197575164,4768944662,OnePlus,4027133,0.02038279
2020,1,country,india,197575164,4768944662,Huawei,3850925,0.019490937
2020,1,country,india,197575164,4768944662,Lenovo,3276777,0.016584964
2020,1,country,india,197575164,4768944662,Others,17812940,0.090157789
2020,2,country,india,218996326,4357634272,Xiaomi,56202867,0.256638401
2020,2,country,india,218996326,4357634272,Samsung,43708551,0.199585773
2020,2,country,india,218996326,4357634272,Vivo,38093292,0.173944891
2020,2,country,india,218996326,4357634272,Oppo,26438928,0.120727724
2020,2,country,india,218996326,4357634272,Realme,12034857,0.054954607
2020,2,country,india,218996326,4357634272,Apple,6099798,0.027853426
2020,2,country,india,218996326,4357634272,Motorola,5066664,0.02313584
2020,2,country,india,218996326,4357634272,Huawei,4210805,0.019227743
2020,2,country,india,218996326,4357634272,OnePlus,4176941,0.01907311
2020,2,country,india,218996326,4357634272,Lenovo,3472895,0.015858234
2020,2,country,india,218996326,4357634272,Others,19490728,0.089000251
2020,3,country,india,241169683,5739326491,Xiaomi,61383234,0.254523012
2020,3,country,india,241169683,5739326491,Samsung,48012276,0.199080894
2020,3,country,india,241169683,5739326491,Vivo,43182078,0.17905268
2020,3,country,india,241169683,5739326491,Oppo,29530065,0.122445179
2020,3,country,india,241169683,5739326491,Realme,13737667,0.056962661
2020,3,country,india,241169683,5739326491,Apple,6523683,0.027050179
2020,3,country,india,241169683,5739326491,Motorola,5363550,0.022239736
2020,3,country,india,241169683,5739326491,Huawei,4565437,0.018930394
2020,3,country,india,241169683,5739326491,OnePlus,4382412,0.018171488
2020,3,country,india,241169683,5739326491,Lenovo,3679349,0.015256267
2020,3,country,india,241169683,5739326491,Others,20809932,0.086287512
2020,4,country,india,264271293,7461623162,Xiaomi,66711711,0.252436465
2020,4,country,india,264271293,7461623162,Samsung,52578970,0.198958311
2020,4,country,india,264271293,7461623162,Vivo,48210115,0.182426606
2020,4,country,india,264271293,7461623162,Oppo,32684041,0.123676093
2020,4,country,india,264271293,7461623162,Realme,15590747,0.058995235
2020,4,country,india,264271293,7461623162,Apple,7052763,0.026687587
2020,4,country,india,264271293,7461623162,Motorola,5650618,0.021381884
2020,4,country,india,264271293,7461623162,Huawei,4915828,0.018601445
2020,4,country,india,264271293,7461623162,OnePlus,4621214,0.017486629
2020,4,country,india,264271293,7461623162,Lenovo,3880170,0.014682526
2020,4,country,india,264271293,7461623162,Others,22375116,0.084667221
2021,1,country,india,284985430,8635508502,Xiaomi,71553154,0.251076534
2021,1,country,india,284985430,8635508502,Samsung,56154585,0.197043705
2021,1,country,india,284985430,8635508502,Vivo,53341749,0.1871736
2021,1,country,india,284985430,8635508502,Oppo,35512326,0.124611023
2021,1,country,india,284985430,8635508502,Realme,17541519,0.061552336
2021,1,country,india,284985430,8635508502,Apple,7576154,0.026584356
2021,1,country,india,284985430,8635508502,Motorola,5792974,0.020327264
2021,1,country,india,284985430,8635508502,Huawei,5145488,0.018055267
2021,1,country,india,284985430,8635508502,OnePlus,4895538,0.017178205
2021,1,country,india,284985430,8635508502,Lenovo,3907304,0.01371054
2021,1,country,india,284985430,8635508502,Others,23564639,0.082687171
2021,2,country,india,305258086,9630620549,Xiaomi,75948492,0.248800918
2021,2,country,india,305258086,9630620549,Samsung,59144667,0.19375299
2021,2,country,india,305258086,9630620549,Vivo,58646521,0.192121106
2021,2,country,india,305258086,9630620549,Oppo,38402777,0.125804291
2021,2,country,india,305258086,9630620549,Realme,20619455,0.067547613
2021,2,country,india,305258086,9630620549,Apple,8143414,0.026677144
2021,2,country,india,305258086,9630620549,Motorola,5744294,0.018817827
2021,2,country,india,305258086,9630620549,OnePlus,5365636,0.017577375
2021,2,country,india,305258086,9630620549,Huawei,5068955,0.016605473
2021,2,country,india,305258086,9630620549,Lenovo,3768280,0.012344571
2021,2,country,india,305258086,9630620549,Others,24405595,0.079950691
2021,3,country,india,328354923,12256377890,Xiaomi,80749587,0.245921658
2021,3,country,india,328354923,12256377890,Vivo,65338474,0.198987344
2021,3,country,india,328354923,12256377890,Samsung,61299387,0.186686365
2021,3,country,india,328354923,12256377890,Oppo,42064749,0.128107563
2021,3,country,india,328354923,12256377890,Realme,24185973,0.073658019
2021,3,country,india,328354923,12256377890,Apple,8753177,0.026657669
2021,3,country,india,328354923,12256377890,OnePlus,6266945,0.019085887
2021,3,country,india,328354923,12256377890,Motorola,5650891,0.017209704
2021,3,country,india,328354923,12256377890,Huawei,5126319,0.015612128
2021,3,country,india,328354923,12256377890,Lenovo,3585329,0.010919066
2021,3,country,india,328354923,12256377890,Others,25334092,0.077154598
2021,4,country,india,351161395,15172529039,Xiaomi,84820436,0.241542599
2021,4,country,india,351161395,15172529039,Vivo,71483071,0.203561872
2021,4,country,india,351161395,15172529039,Samsung,63618499,0.181165982
2021,4,country,india,351161395,15172529039,Oppo,45569087,0.12976679
2021,4,country,india,351161395,15172529039,Realme,28686022,0.081688997
2021,4,country,india,351161395,15172529039,Apple,9883075,0.028143968
2021,4,country,india,351161395,15172529039,OnePlus,7178086,0.020440988
2021,4,country,india,351161395,15172529039,Motorola,5648173,0.016084265
2021,4,country,india,351161395,15172529039,Huawei,4930699,0.014041119
2021,4,country,india,351161395,15172529039,Tecno,3799428,0.010819606
2021,4,country,india,351161395,15172529039,Others,25544819,0.072743813
2022,1,country,india,372951831,15724195113,Xiaomi,88426997,0.237100316
2022,1,country,india,372951831,15724195113,Vivo,77224616,0.207063244
2022,1,country,india,372951831,15724195113,Samsung,65886728,0.176662836
2022,1,country,india,372951831,15724195113,Oppo,49093857,0.131635919
2022,1,country,india,372951831,15724195113,Realme,32685615,0.087640312
2022,1,country,india,372951831,15724195113,Apple,10780434,0.028905701
2022,1,country,india,372951831,15724195113,OnePlus,7974546,0.021382241
2022,1,country,india,372951831,15724195113,Motorola,5610140,0.015042532
2022,1,country,india,372951831,15724195113,Huawei,4882972,0.013092769
2022,1,country,india,372951831,15724195113,Tecno,4550078,0.012200176
2022,1,country,india,372951831,15724195113,Others,25835848,0.069273954
2022,2,country,india,393424643,17786667567,Unknown,0,0
2022,3,country,india,414324881,19223454074,Unknown,0,0
2022,4,country,india,433947940,21262699669,Unknown,0,0
2023,1,country,india,453886185,22927510601,Unknown,0,0
2023,2,country,india,472369901,24931188217,Unknown,0,0
2023,3,country,india,491434385,27225177134,Unknown,0,0
2023,4,country,india,509358280,29936587770,Unknown,0,0
2024,1,country,india,530084540,32626239822,Unknown,0,0
2024,2,country,india,550287982,35407900260,Unknown,0,0
2024,3,country,india,568010051,38129751823,Unknown,0,0
2024,4,country,india,586756452,40416377679,Unknown,0,0
2018,1,state,andaman-&-nicobar-islands,6740,0,Xiaomi,1665,0.247032641
2018,1,state,andaman-&-nicobar-islands,6740,0,Samsung,1445,0.214391691
2018,1,state,andaman-&-nicobar-islands,6740,0,Vivo,982,0.145697329
2018,1,state,andaman-&-nicobar-islands,6740,0,Oppo,501,0.074332344
2018,1,state,andaman-&-nicobar-islands,6740,0,OnePlus,332,0.04925816
2018,1,state,andaman-&-nicobar-islands,6740,0,Realme,316,0.046884273
2018,1,state,andaman-&-nicobar-islands,6740,0,Apple,229,0.033976261
2018,1,state,andaman-&-nicobar-islands,6740,0,Motorola,226,0.033531157
2018,1,state,andaman-&-nicobar-islands,6740,0,Lenovo,202,0.029970326
2018,1,state,andaman-&-nicobar-islands,6740,0,Huawei,158,0.023442136
2018,1,state,andaman-&-nicobar-islands,6740,0,Others,684,0.10148368
2018,2,state,andaman-&-nicobar-islands,9405,0,Xiaomi,2303,0.24486975
2018,2,state,andaman-&-nicobar-islands,9405,0,Samsung,1923,0.20446571
2018,2,state,andaman-&-nicobar-islands,9405,0,Vivo,1523,0.161935141
2018,2,state,andaman-&-nicobar-islands,9405,0,Oppo,708,0.075279107
2018,2,state,andaman-&-nicobar-islands,9405,0,OnePlus,466,0.049548113
2018,2,state,andaman-&-nicobar-islands,9405,0,Realme,465,0.049441786
2018,2,state,andaman-&-nicobar-islands,9405,0,Motorola,319,0.033918129
2018,2,state,andaman-&-nicobar-islands,9405,0,Apple,308,0.032748538
2018,2,state,andaman-&-nicobar-islands,9405,0,Lenovo,244,0.025943647
2018,2,state,andaman-&-nicobar-islands,9405,0,Huawei,230,0.024455077
2018,2,state,andaman-&-nicobar-islands,9405,0,Others,916,0.097395003
2018,3,state,andaman-&-nicobar-islands,12149,0,Xiaomi,2950,0.242818339
2018,3,state,andaman-&-nicobar-islands,12149,0,Samsung,2409,0.198287925
