year,quarter,country_state_level,location,registeredUsers,app_opens
2018,1,country,india,49318,0
2018,1,country,india,2104754,0
2018,1,country,india,4694250,0
2018,1,country,india,2553603,0
2018,1,country,india,3336450,0
2018,1,country,india,55157,0
2018,1,country,india,501,0
2018,1,country,india,29925,0
2018,1,country,india,6106994,0
2018,1,country,india,53258,0
2018,1,country,india,18513,0
2018,1,country,india,6740,0
2018,1,country,india,1847357,0
2018,1,country,india,3158202,0
2018,1,country,india,8784,0
2018,1,country,india,847142,0
2018,1,country,india,385237,0
2018,1,country,india,885762,0
2018,1,country,india,1594015,0
2018,1,country,india,2133804,0
2018,1,country,india,784184,0
2018,1,country,india,3717763,0
2018,1,country,india,86268,0
2018,1,country,india,3315560,0
2018,1,country,india,227373,0
2018,1,country,india,2604789,0
2018,1,country,india,2690048,0
2018,1,country,india,20051,0
2018,1,country,india,15074,0
2018,1,country,india,7593,0
2018,1,country,india,679263,0
2018,1,country,india,176425,0
2018,1,country,india,91936,0
2018,1,country,india,21495,0
2018,1,country,india,2087022,0
2018,1,country,india,483043,0
2018,2,country,india,65580,0
2018,2,country,india,2996036,0
2018,2,country,india,6442554,0
2018,2,country,india,3441662,0
2018,2,country,india,4402540,0
2018,2,country,india,83369,0
2018,2,country,india,686,0
2018,2,country,india,46055,0
2018,2,country,india,8222371,0
2018,2,country,india,71458,0
2018,2,country,india,26618,0
2018,2,country,india,9405,0
2018,2,country,india,2447221,0
2018,2,country,india,4212964,0
2018,2,country,india,12918,0
2018,2,country,india,1152190,0
2018,2,country,india,571046,0
2018,2,country,india,1230599,0
2018,2,country,india,2185781,0
2018,2,country,india,3005872,0
2018,2,country,india,1066587,0
2018,2,country,india,5030665,0
2018,2,country,india,115219,0
2018,2,country,india,4260115,0
2018,2,country,india,315299,0
2018,2,country,india,3833795,0
2018,2,country,india,3565825,0
2018,2,country,india,28097,0
2018,2,country,india,22436,0
2018,2,country,india,10422,0
2018,2,country,india,950675,0
2018,2,country,india,261609,0
2018,2,country,india,122174,0
2018,2,country,india,32883,0
2018,2,country,india,2756141,0
2018,2,country,india,649142,0
2018,3,country,india,81546,0
2018,3,country,india,3900177,0
2018,3,country,india,8096483,0
2018,3,country,india,4309309,0
2018,3,country,india,5427617,0
2018,3,country,india,116874,0
2018,3,country,india,918,0
2018,3,country,india,61935,0
2018,3,country,india,10435033,0
2018,3,country,india,92107,0
2018,3,country,india,37281,0
2018,3,country,india,12149,0
2018,3,country,india,3020398,0
2018,3,country,india,5175453,0
2018,3,country,india,17749,0
2018,3,country,india,1473148,0
2018,3,country,india,784802,0
2018,3,country,india,1532362,0
2018,3,country,india,2795718,0
2018,3,country,india,3784535,0
2018,3,country,india,1347598,0
2018,3,country,india,6372649,0
2018,3,country,india,143893,0
2018,3,country,india,5138501,0
2018,3,country,india,407634,0
2018,3,country,india,4851740,0
2018,3,country,india,4433183,0
2018,3,country,india,37637,0
2018,3,country,india,32090,0
2018,3,country,india,14502,0
2018,3,country,india,1217792,0
2018,3,country,india,342529,0
2018,3,country,india,153802,0
2018,3,country,india,45922,0
2018,3,country,india,3504911,0
2018,3,country,india,810612,0
2018,4,country,india,109494,0
2018,4,country,india,5199878,0
2018,4,country,india,10341964,0
2018,4,country,india,5365442,0
2018,4,country,india,6857409,0
2018,4,country,india,153265,0
2018,4,country,india,1156,0
2018,4,country,india,82589,0
